Restaurant Name,Price_range,Cuisine,number_of_reviews,Overall_rating,Sub_Ratings,tags,number_of_pics,number_of_5classes_ratings
Pho Anh,£,"['Asian', 'Vietnamese', 'Vegetarian Friendly']",18,5,"[5.0, 5.0, 5.0]","['pho ', 'spring rolls ', 'vegetarian pie ', 'prawns ', 'wandsworth ', 'broth ', 'bun ', 'wholesome ', 'dish ']",27,"['18', '0', '0', '0', '0']"
La Plaza,££ - £££,"['Mediterranean', 'Spanish', 'European']",74,4,"[4.0, 4.0, 3.5, 3.0]","['paella ', 'tapas ', 'portobello road ', 'spanish restaurant ', 'outdoor seating ', 'courses ']",41,"['22', '19', '7', '4', '10']"
Manicomio Restaurant,££ - £££,"['Italian', 'Mediterranean', 'European']",581,4,"[4.0, 4.0, 3.5, 4.0]","['antipasti ', 'gnocchi ', 'focaccia ', 'tuna ', 'saatchi gallery ', 'sloane square ', 'kings road ', 'chelsea flower show ', 'italian food ', 'sit outside ', 'light lunch ', 'lovely lunch ', 'nice restaurant ', 'relaxed atmosphere ', 'set menu ']",164,"['179', '191', '60', '45', '33']"
Boys Cafe,££ - £££,"['Asian', 'Thai', 'Vegetarian Friendly']",64,3,"[3.5, 3.0, 3.5, 3.5]",[],11,"['15', '11', '16', '4', '16']"
Mr. Pretzels,,['Caribbean'],3,3.5,[],[],0,"['1', '1', '0', '0', '0']"
Trattoria urbana,££ - £££,"['Pizza', 'Seafood']",105,4.5,"[4.5, 4.5, 4.0, 4.5]","['seafood ', 'gnocchi ', 'west end lane ', 'home made ', 'birthday meal ', 'hampstead ', 'specials ']",60,"['56', '20', '6', '4', '6']"
Nevin's Cafe,£,[],9,3,[],[],11,"['1', '3', '1', '2', '2']"
Cork & Bottle,££ - £££,"['European', 'British']",718,4.5,"[4.0, 4.5, 4.0, 4.5]","['pie ', 'mac and cheese ', 'baked camembert ', 'cheese board ', 'hummus ', 'salmon ', 'leicester square ', 'wine bar ', 'great wine ', 'cheese selection ', 'extensive wine list ', 'by the glass ', 'west end ', 'pre theatre ', 'merlot ', 'downstairs ', 'platter ']",176,"['372', '227', '44', '15', '8']"
The Robin Hood,,['British'],5,3,[],[],0,"['0', '1', '3', '0', '1']"
L'Escargot Restaurant & Bar,££££,"['British', 'French', 'International']",986,4,"[4.5, 4.5, 4.0, 4.0]","['escargot ', 'tarte au citron ', 'onion soup ', 'beef bourguignon ', 'lemon tart ', 'french fries ', 'cobb salad ', 'lobster ', 'potatoes ', 'pre theatre dinner ', 'wine list ', 'set menu ', 'three courses ', 'glass of champagne ', 'wonderful food ', 'special occasion ', 'birthday meal ']",314,"['504', '240', '101', '54', '29']"
The Priory Tavern,££ - £££,['British'],94,4,"[4.5, 4.5, 4.0, 4.5]","['sunday roast ', 'burger ', 'fish and chips ', 'ice cream ', 'lovely roast ', 'lovely evening ']",31,"['50', '25', '5', '6', '3']"
Bianco Nero,££ - £££,"['Italian', 'Pizza', 'Mediterranean']",361,4.5,"[4.5, 4.5, 4.5, 4.5]","['pasta ', 'orecchiette ', 'tiramisu ', 'prawns ', 'sea bass ', 'bread ', 'soup ', 'beef ', 'italian food ', 'family run restaurant ', 'great atmosphere ', 'home made ', 'friendly service ', 'small restaurant ', 'prices are reasonable ', 'lovely restaurant ', 'be visiting again ']",55,"['249', '70', '22', '8', '3']"
Coulsdon Southern Fried Chicken & Fish Bar,£,['British'],3,2.5,[],[],0,"['0', '1', '1', '0', '1']"
Langans Brasserie,££££,"['European', 'British', 'Vegetarian Friendly']",2320,4,"[4.0, 4.0, 3.5, 4.0]","['anchovy sauce ', 'liver ', 'fish pie ', 'bangers and mash ', 'treacle tart ', 'dover sole ', 'poached eggs ', 'veal ', 'potatoes ', 'beef wellington ', 'sea bass ', 'prawns ', 'salad ', 'peter langan ', 'an institution ', 'main course ', 'comfort food ']",349,"['1,064', '664', '286', '183', '65']"
The Orange,££ - £££,"['European', 'British']",721,4,"[4.0, 4.0, 3.5, 4.0]","['pizza ', 'sunday roast ', 'hake ', 'steak ', 'pork ', 'pudding ', 'bread ', 'sloane square ', 'chelsea flower show ', 'public house ', 'upstairs restaurant ', 'the pub ', 'victoria station ', 'lovely evening ', 'booked a table ', 'canapes ']",107,"['251', '258', '101', '53', '17']"
The Hollywood Arms,££ - £££,['British'],185,4,"[4.0, 4.0, 3.5, 4.0]","['burger ', 'sunday roast ', 'yorkshire pudding ', 'fish and chips ', 'cake ', 'the pub ', 'private room upstairs ', 'entire evening ', 'bloody mary ', 'wonderful evening ', 'friendly atmosphere ', 'service charge ', 'chelsea ', 'downstairs ']",51,"['91', '36', '20', '15', '18']"
Half Moon,££ - £££,['British'],117,3.5,"[3.0, 3.5, 2.5, 4.0]","['mac and cheese ', 'gig venue ', 'craven cottage ', 'pub quiz ', 'friday night ']",50,"['29', '34', '11', '24', '17']"
Ranoush - Kensington,££ - £££,"['Lebanese', 'Middle Eastern', 'Mediterranean']",106,4,"[4.5, 4.0, 4.0, 4.0]","['kebab ', 'hummus ', 'kibbeh ', 'mixed grill ', 'lebanese food ', 'nice food ', 'wrap ', 'takeaway ', 'vegan ']",24,"['41', '29', '7', '2', '11']"
Gomti's,,"['Italian', 'Chinese', 'Indian', 'International']",1,2,[],[],1,"['0', '0', '0', '1', '0']"
Sicily,££ - £££,"['Indian', 'Italian']",1239,4,"[4.0, 4.0, 4.0, 4.0]","['pasta ', 'tiramisu ', 'arancini ', 'sea bass ', 'salmon ', 'prawns ', 'steak ', 'pudding ', 'bread ', 'victoria coach station ', 'theatre package ', 'italian food ', 'service charge ', 'lovely restaurant ', 'set menu ', 'booked a table ', 'waiters ']",275,"['441', '352', '91', '53', '63']"
7 Saints,££ - £££,[],10,5,"[5.0, 5.0, 4.5]",[],0,"['9', '1', '0', '0', '0']"
Bocca di Lupo,££ - £££,"['Italian', 'Mediterranean', 'European']",2257,4,"[4.5, 4.0, 4.0, 4.0]","['pasta ', 'sea bream carpaccio ', 'suckling pig ', 'orecchiette ', 'radish salad ', 'granita ', 'broad beans ', 'pork ', 'tapas ', 'foie gras ', 'peas ', 'ice cream ', 'bread ', 'prawns ', 'pudding ', 'fries ', 'sage leaves ']",562,"['1,149', '545', '206', '117', '80']"
Sicilia mia Black Stone Red Fire,££ - £££,"['Italian', 'Mediterranean']",41,4.5,"[4.5, 4.0, 4.0]","['carbonara ', 'pizza ', 'notting hill ', 'westbourne grove ', 'delicious food ', 'sicilian ', 'mozzarella ', 'starters ']",26,"['20', '0', '3', '5', '1']"
The Masai Mara,,['Indian'],5,3.5,[],[],5,"['2', '1', '0', '1', '1']"
Akash Tandoori,££ - £££,"['Indian', 'Asian']",168,4,"[4.0, 4.0, 4.0, 4.0]","['curry ', 'papadums ', 'naan ', 'halloumi ', 'rice ', 'king prawns ', 'mixed grill ', 'high street ', 'gentleman called ', 'dishes including ', 'best indian ', 'fabulous meal ', 'indian restaurant ', 'take away ', 'visiting this restaurant ', 'front of house ', 'under new management ']",88,"['95', '39', '19', '8', '7']"
Fairmile,££ - £££,['British'],757,3.5,"[3.5, 3.5, 3.5, 3.5]","['burger ', 'stayed at the premier inn ', 'function room ', 'the pub ', 'family meal ', 'food was lovely ', 'for sunday lunch ', 'lucas ', 'danny ', 'jack ', 'pubs ']",64,"['328', '155', '81', '91', '98']"
Wellington Lounge,££££,"['British', 'Gluten Free Options']",140,4.5,"[4.5, 4.5, 4.0, 4.5]","['scones ', 'cake ', 'sandwich ', 'wagyu beef ', 'bread ', 'afternoon tea ', 'hyde park corner ', 'extra plate ', 'espresso martini ', 'pleasant atmosphere ', 'savouries ', 'champers ', 'pianist ', 'claridges ']",131,"['78', '30', '8', '2', '2']"
Lost Boys Pizza Camden,££ - £££,"['Pizza', 'Vegetarian Friendly', 'Vegan Options']",55,5,"[5.0, 5.0, 5.0]","['pizza ', 'croque monsieur ', 'spicy pineapple ', 'dough balls ', 'vegetarian and vegan options ', 'last night ', 'friendly service ', 'great atmosphere ', 'charcoal ', 'riri ', 'archway ', 'toppings ', 'relish ', 'downstairs ', 'basement ', 'pizzeria ', 'infused ']",84,"['48', '4', '1', '0', '0']"
The Corner Restaurant And Champagne Bar At Selfridges,££ - £££,"['European', 'British']",215,4.5,"[4.5, 4.5, 4.0, 4.0]","['crab cakes ', 'chocolate truffles ', 'sweet corn soup ', 'monkfish ', 'lobster ', 'bread ', 'afternoon tea ', 'oxford street ', 'smoked salmon ', 'italian waitress ', 'lovely lunch ', 'sat at the bar ', 'art deco ', 'light lunch ', 'food and wine ', 'nice decor ', 'great menu ']",59,"['109', '55', '16', '10', '6']"
Simya korean restaurant,££ - £££,"['Barbecue', 'Asian', 'Korean']",1,4,[],[],10,"['0', '1', '0', '0', '0']"
Caffe Concerto,££ - £££,"['Italian', 'Vegetarian Friendly', 'Vegan Options']",651,3.5,"[3.5, 3.0, 3.0, 3.5]","['cakes ', 'pastry ', 'salad ', 'kensington high street ', 'afternoon tea ', 'take away ', 'caffe ', 'harrods ', 'branch ']",288,"['154', '158', '73', '63', '96']"
Dum Dum Donutterie,£,['Cafe'],8,3.5,[],[],6,"['2', '2', '1', '3', '0']"
Hide,££££,"['British', 'Vegetarian Friendly', 'Vegan Options']",545,4,"[4.5, 4.5, 3.5]","['tasting menu ', 'coconut dessert ', 'bread ', 'truffle ', 'octopus ', 'lamb ', 'baked alaska ', 'caviar ', 'bream ', 'charcuterie ', 'tempura ', 'amuse bouche ', 'burrata ', 'cake ', 'oysters ', 'crab ', 'ice cream ']",776,"['273', '84', '53', '34', '17']"
Prime Steak & Grill Beaconsfield,££ - £££,"['Steakhouse', 'British', 'Vegetarian Friendly']",396,4.5,"[4.5, 4.5, 4.0]","['steak ', 'triple cooked chips ', 'chateaubriand ', 'cheese scone ', 'tuna ', 'pudding ', 'ice cream ', 'sunday roast ', 'our waiter ', 'bottomless brunch ', 'upstairs bar ', 'cooked to perfection ', 'melt in the mouth ', 'peppercorn sauce ', 'service was impeccable ', 'great ambience ', 'great wine ']",111,"['261', '67', '39', '16', '13']"
The Pickled Hen,££ - £££,['British'],243,4,"[4.0, 4.0, 4.0]","['brunch ', 'scotch egg ', 'scones ', 'unlimited prosecco ', 'chicken sliders ', 'mini burgers ', 'cheesecake ', 'finger sandwiches ', 'quiche ', 'salad ', 'afternoon tea ', 'marble arch ', 'tea offered ', 'prosecco glasses ', 'wowcher voucher ', 'hour slot ', 'christmas present ']",136,"['127', '38', '29', '23', '19']"
Chippy Of Windsor,£,"['Fast food', 'Seafood']",19,3,[],[],5,"['3', '6', '2', '0', '6']"
La Mama Acasa,££ - £££,"['European', 'Eastern European']",27,3,"[3.0, 3.0, 3.0]",[],50,"['5', '6', '3', '1', '7']"
The Drayton Arms,££ - £££,['British'],215,4,"[4.0, 4.0, 3.5, 4.0]","['roast chicken ', 'risotto ', 'theatre upstairs ', 'the pub ', 'old brompton road ', 'south kensington ', 'few beers ', 'yummy food ', 'bite to eat ', 'pint ']",55,"['77', '54', '29', '14', '22']"
YO! Bromley,££ - £££,"['Japanese', 'Sushi', 'Asian']",43,3,"[2.5, 2.5, 2.5]",[],3,"['8', '10', '7', '4', '13']"
Taj Mahal Restaurant,££ - £££,"['Indian', 'Asian']",23,3,"[3.0, 2.5, 3.0]","['curry ', 'banquet night ', 'prices are very reasonable ', 'best indian ', 'amazing food ']",0,"['6', '4', '4', '1', '8']"
Dozo Sushi,££ - £££,"['Japanese', 'Sushi', 'Asian']",253,4,"[4.0, 3.5, 3.5]","['sashimi ', 'bento box ', 'ramen ', 'teriyaki chicken ', 'volcano roll ', 'surf and turf ', 'salad ', 'japanese dishes ', 'enjoyed every bite ', 'dining alone ', 'green tea ', 'at lunchtime ', 'amazing restaurant ', 'small restaurant ', 'great lunch ', 'leftovers ', 'cucumber ']",166,"['76', '65', '23', '12', '24']"
The Honest Italian,££ - £££,"['Italian', 'Pizza', 'Vegetarian Friendly']",338,4.5,"[4.5, 4.5, 4.5, 4.5]","['pizza ', 'bruschetta ', 'the wood fired oven ', 'thin base ', 'friendly service ', 'nice atmosphere ', 'fulham ', 'toppings ', 'dough ', 'limoncello ', 'crispy ', 'pizzeria ', 'delivery ', 'diners ']",23,"['246', '57', '11', '11', '8']"
Kebabi,£,[],4,3,[],[],1,"['2', '0', '0', '0', '2']"
Pomona's,££ - £££,"['Vegetarian Friendly', 'Vegan Options', 'Gluten Free Options']",78,4,"[4.0, 4.0, 4.0]","['brunch ', 'chicken sandwich ', 'bavette steak ', 'pancakes ', 'notting hill ', 'food was great ', 'front of house ', 'attentive service ', 'menu ', 'smoothies ']",96,"['30', '18', '12', '5', '6']"
Azmar Restaurant,££ - £££,"['Mediterranean', 'Middle Eastern', 'Halal']",60,4.5,"[5.0, 4.5, 4.5]","['lentil soup ', 'kebab ', 'bread ', 'dolma ', 'baklawa ', 'okra ', 'lamb ', 'edgware road ', 'iraqi food ', 'love this place ', 'shank ', 'cabbage ', 'crispy ']",34,"['38', '10', '3', '0', '2']"
Mezzoroma2,££ - £££,"['Italian', 'Mediterranean']",19,4,"[4.0, 3.5, 3.5]",[],2,"['8', '5', '2', '2', '0']"
Boardwalk BBQ Smokin at The Normanby,££ - £££,[],51,4,"[4.0, 4.0, 4.0, 3.5]",[],40,"['30', '10', '3', '2', '6']"
Brunello Bar and Restaurant,££££,"['European', 'Italian', 'Vegetarian Friendly']",70,4,"[4.0, 4.5, 3.5]","['veal milanese ', 'burrata ', 'salad ', 'scones ', 'baglioni hotel ', 'the royal albert hall ', 'lovely afternoon tea ', 'italian cuisine ', 'pre theatre dinner ', 'birthday dinner ', 'food was amazing ', 'service was impeccable ', 'main course ', 'pistachio ', 'opentable ', 'chef ', 'courses ']",50,"['38', '9', '6', '4', '3']"
BungaTINI,££ - £££,"['Italian', 'Pizza', 'European']",398,4.5,"[4.5, 4.5, 4.5]","['brunch ', 'pizza ', 'unlimited prosecco ', 'antipasti ', 'bread ', 'salad ', 'bunga bunga ', 'drury lane ', 'virgin experience ', 'pre theatre ', 'a great evening ', 'friends birthday ', 'three courses ', 'staff were attentive ', 'lovely atmosphere ', 'dough ', 'chiara ']",187,"['289', '48', '13', '17', '12']"
OK,,['Cafe'],2,4,[],[],0,"['1', '0', '1', '0', '0']"
Fantasia Palace Greek Restaurant,££ - £££,"['Greek', 'International', 'European']",247,4,"[4.0, 4.5, 4.0, 4.0]","['moussaka ', 'greek salad ', 'baklava ', 'rice ', 'praed street ', 'paddington station ', 'hilton metropole ', 'recommend this restaurant ', 'fantastic food ', 'booked a table ', 'waitress ', 'starters ', 'tender ']",92,"['89', '65', '31', '6', '12']"
Bill's Soho,££ - £££,"['Deli', 'British']",2021,4,"[4.0, 4.5, 4.0, 4.5]","['brunch ', 'fish pie ', 'pancakes ', 'halloumi ', 'ribs ', 'sea bass ', 'fries ', 'salad ', 'bread ', 'brewer street ', 'pre theatre dinner ', 'west end ', 'nice meal ', 'service charge ', 'afternoon tea ', 'branch ']",766,"['590', '520', '141', '50', '35']"
Santa Maria,££ - £££,"['Italian', 'Pizza', 'Mediterranean']",155,4,"[4.0, 4.0, 4.0]","['pizza ', 'meatballs ', 'nduja ', 'bread ', 'salad ', 'delicious toppings ', 'nice evening ', 'love this place ', 'ealing ', 'dough ', 'chelsea ', 'starters ', 'ingredients ', 'vegan ', 'slice ']",54,"['71', '30', '11', '11', '15']"
The Old Hatchet Pub and Restaurant,££ - £££,['British'],558,4,"[4.0, 4.0, 4.0, 4.0]","['burger ', 'chocolate brownie ', 'pudding ', 'sunday roast ', 'beef ', 'fish and chips ', 'soup ', 'new management ', 'fairy lights ', 'lovely atmosphere ', 'plenty of parking ', 'lovely lunch ', 'pub ', 'fires ', 'barman ', 'ascot ', 'fireplace ']",81,"['304', '131', '49', '34', '40']"
Gymkhana,££££,"['Indian', 'Asian', 'Vegetarian Friendly']",1578,4,"[4.5, 4.5, 3.5, 4.0]","['tasting menu ', 'keema ', 'rasmalai ', 'guinea fowl ', 'lamb chops ', 'butter chicken ', 'bread basket ', 'game meat ', 'quail ', 'tiger prawns ', 'curry ', 'bream ', 'mango ', 'kebab ', 'poppadoms ', 'potatoes ', 'indian food ']",576,"['815', '378', '205', '68', '49']"
Papa John's Pizza,,['Pizza'],4,3,[],[],1,"['1', '0', '1', '1', '1']"
Best Kebab,,"['Fast food', 'Turkish', 'Middle Eastern', 'Halal']",19,3,"[4.5, 4.5, 4.5]",[],3,"['3', '7', '2', '1', '6']"
Taormina,££ - £££,"['Italian', 'European', 'Mediterranean']",682,3.5,"[3.5, 4.0, 3.5, 3.5]","['cannelloni ', 'steak ', 'soup ', 'calamari ', 'italian food ', 'hyde park ', 'italian place ', 'large portions ', 'quick service ', 'bayswater ']",66,"['173', '122', '81', '31', '45']"
Essenza,££ - £££,"['Italian', 'Mediterranean', 'European']",93,3.5,"[4.0, 3.5, 3.0, 3.5]",[],13,"['24', '16', '15', '5', '11']"
Square Pie - Westfield White City,£,['British'],29,3,"[3.5, 3.5, 3.0]",[],7,"['6', '7', '8', '2', '5']"
Nando's Wembley Park,,"['European', 'Portuguese']",8,3,[],[],0,"['1', '3', '1', '0', '3']"
Thai rice,££ - £££,"['Thai', 'Asian', 'Vegetarian Friendly']",44,3,"[2.5, 2.0, 2.5]",[],16,"['9', '8', '6', '1', '13']"
Saray Bbq,££ - £££,['Turkish'],6,3,[],[],1,"['1', '1', '1', '2', '1']"
Franco Manca,£,"['Italian', 'Pizza', 'European']",129,3.5,"[4.0, 4.0, 4.0]","['sourdough pizza ', 'burrata ', 'tiramisu ', 'salad ', 'best pizza ', 'notting hill ', 'waiters ', 'ingredients ', 'delivery ', 'olives ', 'takeaway ', 'vegan ']",41,"['36', '18', '11', '5', '17']"
Kassaba,££ - £££,"['Mediterranean', 'Turkish', 'Halal']",87,3,"[3.0, 3.0, 3.0]",[],30,"['19', '17', '12', '8', '30']"
Sofra,££ - £££,"['Mediterranean', 'European', 'Turkish']",1166,4,"[4.0, 4.0, 4.0, 4.0]","['hummus ', 'lamb tagine ', 'warm bread ', 'pide ', 'rice ', 'clotted cream ', 'steak ', 'oxford street ', ""st christopher's place "", 'turkish food ', 'rose jam ', 'sit outside ', 'english breakfast ', 'main dish ', 'west end ', 'covent garden ', 'ozer ']",379,"['448', '255', '125', '86', '105']"
Oysters,£,['Chinese'],11,2.5,[],[],4,"['2', '3', '1', '0', '5']"
Shimla Mirch,,['Indian'],5,4,[],[],0,"['2', '2', '0', '0', '1']"
Domino's Pizza,,"['Pizza', 'Fast food']",9,3,[],[],1,"['3', '0', '3', '0', '3']"
Cote Brasserie - Soho,££ - £££,"['French', 'European', 'Vegetarian Friendly']",1220,4.5,"[4.0, 4.5, 4.0, 4.0]","['steak frites ', 'duck breast ', 'crepes ', 'bread ', 'soup ', 'fries ', 'wardour street ', 'pre theatre meal ', 'creme caramel ', 'minute steak ', 'going to the theatre ', 'set menu ', 'three courses ', 'full english breakfast ', 'west end ', 'lovely food ', 'service charge ']",222,"['523', '325', '86', '39', '23']"
Vikijons Grill,£,"['Lebanese', 'Mediterranean', 'Arabic']",2,2.5,[],[],12,"['0', '0', '1', '1', '0']"
Tandoori Mahal Restaurant,,['Indian'],4,4,[],[],0,"['2', '1', '0', '0', '1']"
Thai Orchid,££ - £££,"['Asian', 'Thai', 'Vegetarian Friendly']",173,4,"[4.0, 4.5, 4.0, 4.0]","['thai food ', 'curry ', 'duck ', 'set meal ', 'excellent meal ', 'friday night ', 'have eaten here ', 'fantastic food ', 'orchids ', 'napkins ', 'ingredients ']",16,"['96', '40', '14', '8', '15']"
"The Rex Whistler Restaurant, Tate Britain",££££,"['European', 'British', 'Vegetarian Friendly']",662,4.5,"[4.5, 4.5, 4.0, 4.0]","['lunch ', 'trout ', 'terrine ', 'lamb ', 'potatoes ', 'cheese board ', 'pudding ', 'soup ', 'wine list ', 'whistler mural ', 'van gogh exhibition ', 'half bottle ', 'matching wines ', 'main course ', 'by the glass ', 'excellent wine ', 'three courses ']",164,"['348', '178', '62', '24', '14']"
Comptoir V,,"['Moroccan', 'Mediterranean']",6,4.5,[],[],2,"['4', '1', '1', '0', '0']"
Adam Handling Chelsea,££££,"['European', 'British']",58,4.5,"[5.0, 4.5, 4.0]","['brunch ', 'tasting menu ', 'truffle ', 'beef wellington ', 'donuts ', 'oysters ', 'bread ', 'burrata ', 'pudding ', 'cadogan hotel ', 'sloane street ', 'signature dish ', 'afternoon tea ', 'open kitchen ', 'covent garden ', 'smoked salmon ', 'michelin star ']",77,"['42', '10', '2', '1', '1']"
Pasta Plant,££ - £££,"['Italian', 'Mediterranean', 'Healthy']",39,5,"[5.0, 5.0, 5.0]","['pappardelle ', 'pasta ', 'maccheroni ', 'plant based ', 'gluten free ', 'oxford street ', 'italian food ', 'protein ', 'healthy ', 'texture ', 'dishes ', 'sauce ', 'ambience ']",35,"['31', '0', '0', '0', '0']"
Farmhouse Pizza,,['Italian'],2,2.5,[],[],0,"['0', '1', '0', '0', '1']"
Finger Licking,,['Seafood'],1,2,[],[],0,"['0', '0', '0', '1', '0']"
Simpson's in The Strand,££££,"['European', 'British', 'Vegetarian Friendly']",861,4.5,"[4.5, 4.5, 4.0]","['roast beef ', 'yorkshire pudding ', 'baked alaska ', 'savoy cabbage ', 'potted shrimps ', 'prime rib ', 'dorset crab ', 'dover sole ', 'potatoes ', 'oysters ', 'pie ', 'soup ', 'bread ', 'carving trolley ', 'savoy hotel ', ""knight's bar "", 'grand divan ']",558,"['530', '121', '57', '37', '11']"
Cafe Costello,,['Cafe'],5,3,[],[],2,"['1', '0', '2', '1', '1']"
Maison Du Mezze,££ - £££,"['Lebanese', 'Mediterranean', 'Healthy']",851,4.5,"[4.5, 4.5, 4.0]","['falafel ', 'cold mezze ', 'mixed grill ', 'bread ', 'lamb ', 'rice ', 'salad ', 'leicester square ', 'lebanese food ', 'middle eastern cuisine ', 'umm ali ', 'sit outside ', 'amazing food ', 'main course ', 'pre theatre dinner ', 'west end ', 'service was impeccable ']",445,"['487', '101', '44', '38', '29']"
PIX,££ - £££,"['Mediterranean', 'European', 'Spanish']",339,4,"[4.5, 4.5, 4.0, 4.5]","['tapas ', 'skewers ', 'tortillas ', 'meatballs ', 'churros ', 'bread ', 'ham ', 'pork belly ', 'cod ', 'kebab ', 'carnaby street ', 'all you can eat ', 'white rioja ', 'great little place ', 'small dishes ', 'quick bite ', 'lovely atmosphere ']",131,"['150', '84', '19', '7', '16']"
Signor Sassi,££££,"['Italian', 'Mediterranean', 'European']",1128,4,"[4.0, 4.0, 3.5, 4.0]","['lobster spaghetti ', 'tiramisu ', 'bread ', 'salad ', 'italian food ', 'san carlo ', 'extensive menu ', 'knightsbridge ', 'waiters ', 'chunks ']",357,"['453', '267', '93', '61', '75']"
Anima e Cuore,££ - £££,"['Italian', 'Vegetarian Friendly', 'Gluten Free Options']",173,4.5,"[4.5, 4.5, 4.5, 4.5]","['pasta ', 'scallops ', 'ice cream ', 'baccala ', 'gelato ', 'truffle ', 'cakes ', 'duck ', 'kentish town ', 'bring your own wine ', 'italian food ', 'michelin star quality ', 'byo wine ', 'hole in the wall ', 'fabulous restaurant ', 'stunning food ', 'home made ']",86,"['133', '20', '3', '3', '7']"
Palm Court Brasserie,££ - £££,"['French', 'European', 'Vegetarian Friendly']",2556,4.5,"[4.5, 4.5, 4.0, 4.5]","['beef bourguignon ', 'baked brie ', 'filo ', 'seafood linguine ', 'chocolate tart ', 'chateaubriand ', 'sea bass ', 'mash ', 'soup ', 'potatoes ', 'chicken ', 'covent garden ', 'kir royale ', 'theatre menu ', 'pre theatre ', 'champagne cocktail ', 'our waiter ']",352,"['1,373', '723', '173', '79', '48']"
Burger and Lobster - Oxford Circus,££ - £££,"['American', 'Seafood']",1054,4.5,"[4.5, 4.5, 4.0, 4.5]","['lobster roll ', 'burger ', 'fries ', 'salad ', 'seafood ', 'bread ', 'portland street ', 'brioche bun ', 'quick service ', 'combo ', 'branch ', 'pounds ']",655,"['390', '251', '78', '29', '23']"
Blanchette,££ - £££,"['French', 'European', 'Vegetarian Friendly']",570,4.5,"[4.5, 4.0, 4.0, 4.5]","['tapas ', 'beignets ', 'charcuterie ', 'green bean salad ', 'frites ', 'duck rillettes ', 'lamb shoulder ', 'bread ', 'sea bass ', 'fries ', 'small plates ', 'french cuisine ', 'sharing dishes ', 'the pre theatre menu ', 'brick lane ', 'lovely atmosphere ', 'set menu ']",178,"['275', '157', '50', '24', '7']"
Colbert,££ - £££,"['French', 'European', 'Vegetarian Friendly']",1386,3.5,"[4.0, 4.0, 3.5, 4.0]","['brunch ', 'croque ', 'steak tartare ', 'oysters ', 'eggs benedict ', 'snails ', 'salad ', 'pudding ', 'fries ', 'cakes ', 'chicken ', 'sloane square ', 'cadogan hall ', 'french bistro ', 'royal court theatre ', 'kings road ', 'chelsea ']",237,"['378', '464', '213', '102', '106']"
The Other Naughty Piglet,££ - £££,"['European', 'British', 'Vegetarian Friendly']",155,4.5,"[4.5, 4.5, 4.0]","['ham croquettes ', 'linguine ', 'burrata ', 'pork belly ', 'crab ', 'tapas ', 'cheese plate ', 'pollock ', 'cod ', 'pudding ', 'doughnuts ', 'fries ', 'palace theatre ', 'small plates ', 'blue cheese ', 'pre theatre dinner ', 'going to the theatre ']",53,"['79', '45', '18', '7', '1']"
Subway,,"['American', 'Fast food', 'Deli']",3,3,[],[],0,"['0', '0', '1', '0', '0']"
The Oak & Saw Village Inn,££ - £££,['British'],232,4.5,"[4.5, 4.5, 4.0, 4.5]","['beef ', 'sunday roast ', 'scotch egg ', 'pie ', 'fish and chips ', 'yorkshire pudding ', 'mash ', 'ice cream ', 'salad ', 'steak night ', 'the pub ', 'great beer ', 'cooked to perfection ', 'lovely food ', 'on arrival ', 'rebellion ', 'ales ']",86,"['130', '68', '17', '6', '8']"
Reindeer Cafe,£,"['Chinese', 'Asian']",153,4,"[4.0, 3.5, 4.0, 3.5]","['roast duck ', 'noodles ', 'hor fun ', 'black bean sauce ', 'mixed seafood ', 'sour chicken ', 'cake ', 'fries ', 'wing yip ', 'chinese food ', 'chinese tea ', 'large portions ', 'been coming here for years ', 'fast food ', 'quick lunch ', 'comfort food ', 'bakery ']",78,"['56', '54', '14', '5', '22']"
Buns E17,£,"['American', 'Fast food']",23,3.5,[],"['burger ', 'bell ', 'forest ', 'waltham ', 'salty ']",8,"['10', '3', '2', '3', '5']"
The Palm Court,££££,"['British', 'Vegetarian Friendly', 'Vegan Options']",270,4,"[4.0, 4.0, 3.5, 4.0]","['scones ', 'finger sandwiches ', 'lemon curd ', 'cake ', 'afternoon tea ', 'harpist playing ', 'art deco ', 'park lane ', 'free flowing bubbles ', 'glass of champagne ', 'the ritz ', 'attentive service ', 'special occasion ', 'piccadilly ', 'vegetarian ', 'cream ', 'maitre ']",123,"['131', '62', '28', '21', '8']"
Millfield Theatre Bar & Kitchen,,"['Cafe', 'British', 'Vegetarian Friendly']",11,2.5,[],[],0,"['2', '1', '2', '4', '2']"
Superfish,££ - £££,"['Seafood', 'Fast food']",25,3,"[4.0, 4.0, 3.5]","['fish and chips ', 'bread ', 'limited seating ', 'friday evening ', 'establishment ']",4,"['7', '7', '0', '2', '9']"
Quirinale,££££,"['Italian', 'Mediterranean', 'European']",269,4.5,"[4.5, 4.5, 4.0, 4.0]","['pasta ', 'sea bass ', 'truffle ', 'tuna carpaccio ', 'guinea fowl ', 'tiramisu ', 'parma ham ', 'ice cream ', 'basement location ', 'parliament square ', 'westminster area ', 'italian food ', 'wine list ', 'by the glass ', 'set menu ', 'booked this restaurant ', 'nice restaurant ']",54,"['153', '54', '17', '8', '6']"
Indi-go Westfield Stratford,££ - £££,"['Indian', 'Street Food']",10,3,[],[],23,"['2', '2', '1', '2', '2']"
